#SampleID	plate	position	date	pile	sex	species	original_sort_order	start_date	time	fruit	lineartime	wolb	wolbachia
jr1129	5	A10	10/6/22	p2	f	NA	73	9/10/22	26	p	40	0.166	N
jr1130	5	B10	10/6/22	p3	m	m	74	9/22/22	14	p	40	0.564	Y
jr1131	5	C10	10/6/22	p3	m	m	75	9/22/22	14	p	40	0.034	N
jr1132	5	D10	10/6/22	p3	m	m	76	9/22/22	14	p	40	0	N
jr1133	5	E10	10/6/22	p3	m	m	77	9/22/22	14	p	40	0.314	Y
jr1134	5	F10	10/6/22	p3	m	m	78	9/22/22	14	p	40	0.014	N
jr1135	5	G10	10/6/22	p3	m	m	79	9/22/22	14	p	40	0.39	Y
jr1136	5	H10	10/6/22	p3	m	m	80	9/22/22	14	p	40	0.63	Y
jr1137	5	A11	10/6/22	p3	m	m	81	9/22/22	14	p	40	0.018	N
jr1138	5	B11	10/6/22	p3	m	m	82	9/22/22	14	p	40	0.488	Y
jr1139	5	C11	10/6/22	p3	m	m	83	9/22/22	14	p	40	0.026	N
jr1140	5	D11	10/6/22	p3	m	m	84	9/22/22	14	p	40	0.224	N
jr1141	5	E11	10/6/22	p3	m	m	85	9/22/22	14	p	40	0	N
jr1142	5	F11	10/6/22	p3	m	m	86	9/22/22	14	p	40	0.018	N
jr1143	5	G11	10/6/22	p3	f	NA	87	9/22/22	14	p	40	0.002	N
jr1144	5	H11	10/6/22	p3	f	NA	88	9/22/22	14	p	40	0	N
jr1145	5	A12	10/6/22	p3	f	NA	89	9/22/22	14	p	40	0.012	N
jr1146	5	B12	nothing	nothing	nothing	nothing	90	NA	NA	nothing	NA	#N/A	#N/A
jr1147	5	C12	nothing	nothing	nothing	nothing	91	NA	NA	nothing	NA	#N/A	#N/A
jr1148	5	D12	nothing	nothing	nothing	nothing	92	NA	NA	nothing	NA	#N/A	#N/A
jr1149	5	E12	nothing	nothing	nothing	nothing	93	NA	NA	nothing	NA	#N/A	#N/A
jr1150	5	F12	nothing	nothing	nothing	nothing	94	NA	NA	nothing	NA	#N/A	#N/A
jr1151	5	G12	nothing	nothing	nothing	nothing	95	NA	NA	nothing	NA	#N/A	#N/A
jr1152	5	H12	nothing	nothing	nothing	nothing	96	NA	NA	nothing	NA	#N/A	#N/A
jr1249	4	A1	10/11/22	a2	m	m	97	9/10/22	31	a	45	0.774	Y
jr1250	4	B1	10/11/22	a2	m	m	98	9/10/22	31	a	45	0.872	Y
jr1251	4	C1	10/11/22	a2	m	m	99	9/10/22	31	a	45	0.186	N
jr1252	4	D1	10/11/22	a2	f	NA	100	9/10/22	31	a	45	0.754	Y
jr1253	4	E1	10/11/22	a2	f	NA	101	9/10/22	31	a	45	#N/A	#N/A
jr1254	4	F1	10/11/22	a2	f	NA	102	9/10/22	31	a	45	0.714	Y
jr1255	4	G1	10/11/22	a2	f	NA	103	9/10/22	31	a	45	0.002	N
jr1256	4	H1	10/11/22	a3	f	NA	104	9/22/22	19	a	45	0	N
jr1257	4	A2	10/11/22	a3	f	NA	105	9/22/22	19	a	45	0.374	Y
jr1258	4	B2	10/11/22	a3	f	NA	106	9/22/22	19	a	45	0	N
jr1259	4	C2	10/11/22	a3	m	m	107	9/22/22	19	a	45	0	N
jr1260	4	D2	10/11/22	p3	f	NA	108	9/22/22	19	p	45	0.158	N
jr1261	4	E2	10/11/22	p3	f	NA	109	9/22/22	19	p	45	0.642	Y
jr1262	4	F2	10/11/22	p3	m	m	110	9/22/22	19	p	45	0.022	N
jr1263	4	G2	10/11/22	p3	m	m	111	9/22/22	19	p	45	0.45	Y
jr1264	4	H2	10/11/22	p3	m	m	112	9/22/22	19	p	45	0	N
jr1265	4	A3	10/11/22	p3	m	m	113	9/22/22	19	p	45	0.372	Y
jr1266	4	B3	10/11/22	p3	m	m	114	9/22/22	19	p	45	0.004	N
jr1267	4	C3	10/11/22	p3	m	m	115	9/22/22	19	p	45	0.002	N
jr1268	4	D3	10/11/22	p3	m	m	116	9/22/22	19	p	45	0	N
jr1269	4	E3	10/11/22	p3	m	m	117	9/22/22	19	p	45	0	N
jr1270	4	F3	10/11/22	p3	m	m	118	9/22/22	19	p	45	0.006	N
jr1271	4	G3	10/11/22	p3	m	m	119	9/22/22	19	p	45	0	N
jr1272	4	H3	10/13/22	p3	f	NA	120	9/22/22	21	p	47	0	N
jr1273	4	A4	10/13/22	p3	f	NA	121	9/22/22	21	p	47	0.044	N
jr1274	4	B4	10/13/22	p3	m	m	122	9/22/22	21	p	47	0.804	Y
jr1275	4	C4	10/13/22	p3	m	m	123	9/22/22	21	p	47	0.928	Y
jr1276	4	D4	10/13/22	p3	m	m	124	9/22/22	21	p	47	0.372	Y
jr1277	4	E4	10/13/22	p3	m	m	125	9/22/22	21	p	47	0.524	Y
jr1278	4	F4	10/13/22	a2	f	NA	126	9/10/22	33	a	47	0.984	Y
jr1279	4	G4	10/13/22	a2	f	NA	127	9/10/22	33	a	47	0.974	Y
jr1280	4	H4	10/13/22	p3	m	m	128	9/22/22	21	p	47	0	N
jr1281	4	A5	10/13/22	a2	f	NA	129	9/10/22	33	a	47	0.826	Y
jr1282	4	B5	10/13/22	a2	f	NA	130	9/10/22	33	a	47	0.482	Y
jr1283	4	C5	10/13/22	a2	m	m	131	9/10/22	33	a	47	0.766	Y
jr1284	4	D5	10/13/22	a2	m	m	132	9/10/22	33	a	47	0.51	Y
jr1285	4	E5	10/13/22	a2	m	m	133	9/10/22	33	a	47	0.002	N
jr1286	4	F5	10/13/22	a2	m	m	134	9/10/22	33	a	47	0.394	Y
jr1287	4	G5	10/13/22	a3	m	m	135	9/22/22	21	a	47	0.82	Y
jr1288	4	H5	10/13/22	a3	m	m	136	9/22/22	21	a	47	0.122	N
jr1289	4	A6	10/13/22	a3	m	m	137	9/22/22	21	a	47	0.876	Y
jr1290	4	B6	10/13/22	a3	f	suz	138	9/22/22	21	a	47	0.044	N
jr1291	4	C6	10/20/22	a1	f	NA	139	8/27/22	54	a	54	0	N
jr1292	4	D6	10/20/22	a1	f	NA	140	8/27/22	54	a	54	0.008	N
jr1293	4	E6	10/20/22	a1	m	m	141	8/27/22	54	a	54	0	N
jr1294	4	F6	10/20/22	a1	m	m	142	8/27/22	54	a	54	0.982	Y
jr1295	4	G6	10/20/22	negative control		NA	143	NA	NA	negative control	54	#N/A	#N/A
jr1296	4	H6	10/20/22	a1	m	m	144	8/27/22	54	a	54	0.546	Y
jr1297	4	A7	10/20/22	a2	f	suz	145	9/10/22	40	a	54	0.086	N
jr1298	4	B7	10/20/22	a2	m	m	146	9/10/22	40	a	54	0.496	Y
jr1299	4	C7	10/20/22	a2	m	m	147	9/10/22	40	a	54	0.004	N
jr1300	4	D7	10/20/22	a3	f	NA	148	9/22/22	28	a	54	0.138	N
jr1301	4	E7	10/20/22	a3	f	NA	149	9/22/22	28	a	54	0	N
jr1302	4	F7	10/20/22	a3	f	NA	150	9/22/22	28	a	54	0.066	N
jr1303	4	G7	10/20/22	a3	f	NA	151	9/22/22	28	a	54	0	N
jr1304	4	H7	10/20/22	a3	f	NA	152	9/22/22	28	a	54	0.406	Y
jr1305	4	A8	10/20/22	a3	f	NA	153	9/22/22	28	a	54	0.468	Y
jr1306	4	B8	10/20/22	a3	f	NA	154	9/22/22	28	a	54	0.386	Y
jr1307	4	C8	10/20/22	a3	f	NA	155	9/22/22	28	a	54	0.53	Y
jr1308	4	D8	10/20/22	a3	m	m	156	9/22/22	28	a	54	0.66	Y
jr1309	4	E8	10/20/22	a3	m	m	157	9/22/22	28	a	54	0.736	Y
jr1310	4	F8	10/20/22	a3	m	m	158	9/22/22	28	a	54	0.776	Y
jr1311	4	G8	10/20/22	a3	m	m	159	9/22/22	28	a	54	0.614	Y
