Feature ID,kingdom,phylum,class,order,family,genus,species
a67ad8a1774a0597dbcd4d103c694c72,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Rhodospirillaceae, g__, s__
c0c56cd47d761a4489828969ff0aa341,k__Bacteria, p__Chloroflexi, c__TK10, o__B07_WMSP1, f__, g__, s__
148e1738fa783f193163ccd1af23ca66,k__Bacteria, p__Chloroflexi, c__Ellin6529, o__, f__, g__, s__
3c0dc072fb6cd9182817eeaa4e912938,k__Bacteria, p__TM7, c__SC3, o__, f__, g__, s__
c9722ed0b08d710b8ca0d9425920a55a,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Chromatiales, f__, g__, s__
558710612fdb94a9ccf33f73f20a465d,k__Bacteria, p__Armatimonadetes, c__[Fimbriimonadia], o__[Fimbriimonadales], f__[Fimbriimonadaceae], g__Fimbriimonas, s__
6ce0875c52377b9dc3d515302945e09f,k__Bacteria, p__Cyanobacteria, c__ML635J-21, o__, f__, g__, s__
e40f87e51b1239c17820fe204cf786fe,k__Bacteria, p__Bacteroidetes, c__Sphingobacteriia, o__Sphingobacteriales, f__, g__, s__
e3dc2a458bbeab1a8bdd50be16c5bcfd,k__Bacteria, p__Chloroflexi, c__, o__, f__, g__, s__
0eac695f4ee4e918fa6abccf37f91ce7,k__Bacteria, p__Acidobacteria, c__[Chloracidobacteria], o__PK29, f__, g__, s__
db402aea5bea63129dfd3ec3fc0ad163,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__, g__, s__
736cb939ba7ec302b0245a7e6b77ed83,k__Bacteria, p__Armatimonadetes, c__0319-6E2, o__, f__, g__, s__
24c000f709ea90d6073452f796642c56,k__Bacteria, p__Chloroflexi, c__Anaerolineae, o__, f__, g__, s__
81559e30a111df2b5e83b392b7435ac3,k__Bacteria,,,,,,
961f5a6055562a741362be7557e4cbd8,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales,,,
9fe6b433125b32b2fdb2495544be417f,k__Bacteria, p__Chloroflexi, c__Anaerolineae, o__Caldilineales, f__Caldilineaceae, g__, s__
828aa3ba1f796be52ba2396ca31c0652,k__Bacteria, p__Verrucomicrobia, c__Opitutae, o__Opitutales, f__Opitutaceae, g__, s__
ea612f575acbf995ecb2ca1340485610,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae, g__, s__
b5183c62afec893b559a756ce45239d7,k__Bacteria, p__Cyanobacteria, c__ML635J-21, o__, f__, g__, s__
884b09803195e78a82c9c667bb1f1dad,k__Bacteria, p__Nitrospirae, c__Nitrospira, o__Nitrospirales, f__0319-6A21, g__, s__
faec5070a00081d19907fe201e7032aa,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Cryomorphaceae, g__Fluviicola, s__
ba64b97860aa7aa320d2884c74caeaac,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Legionellales, f__Legionellaceae, g__, s__
f2cf161c342aeef15a21deac0c3a0993,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__[Weeksellaceae], g__Chryseobacterium, s__
9ca6007971356209aea7250338a745bb,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Rhodospirillaceae, g__, s__
c4542eda8eb3820bd156f4b416a49192,k__Bacteria, p__Verrucomicrobia, c__Verrucomicrobiae, o__Verrucomicrobiales, f__Verrucomicrobiaceae, g__, s__
cbad994ef521d5de2e40f2de0ba732db,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Paenibacillaceae, g__Paenibacillus, s__
8adc38079e9d1b9ca98bdcea6ed40614,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__[Mogibacteriaceae], g__Anaerovorax, s__
ee8a4dff1263801aa7cf65d44795c66b,k__Bacteria, p__Verrucomicrobia, c__[Spartobacteria], o__[Chthoniobacterales], f__[Chthoniobacteraceae], g__, s__
7a2ec3af610e0b52927d057a588ac715,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Gemmatales, f__Gemmataceae, g__Gemmata, s__
6cf8798ed6493f581d0dfb649db13136,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__Myxococcaceae, g__Anaeromyxobacter, s__
fa330652177d0b48c37bca44a4308a62,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Sinobacteraceae, g__, s__
