	ec1254	ec1270	ec1278	ec1306	ec1322	ec1325	ec1341	ec1350	ec1353	ec1354	ec1357	ec1364	ec1369	ec1372	ec1382	ec1384	ec1385	ec1386	ec1388	ec1398	ec1401	ec1403	ec1404	ec1412	ec1416	ec1417	ec1419	ec1428	ec1430	ec1433	ec1436	eti110	eti112	eti122	eti124	eti126
ec1401	0.34490400436675	0.2745200360976013	0.24198862042272679	0.19750089201503362	0.2959990015555826	0.32921244422241586	0.15980500248702167	0.3259325284089401	0.2643041816300077	0.3753754403439088	0.35739625480244397	0.3192977635465452	0.34548927629242393	0.33828604225186	0.3425773663217474	0.32491533503574244	0.3502036090808193	0.4752524520129297	0.3413494637662004	0.35580082119305456	0.0	0.34712397751794455	0.33985472689459356	0.3244525305077365	0.33535331742278895	0.15098089918663538	0.164591982609627	0.3530527731871914	0.35088124002982696	0.3062525598907879	0.3511484576081999	0.35591643658812955	0.35501576882573177	0.3073510531598947	0.2532938174780536	0.33865970579962595
ec1403	0.5532090699580882	0.46751079896428954	0.4153043167957996	0.19217633591391364	0.07727812145518015	0.06030696946716776	0.28716292817693956	0.0594893765864012	0.12174551398917455	0.3232147304439083	0.033698149725753496	0.06318493025087432	0.031101610642554976	0.038236972121726304	0.03178823052817021	0.07104825990230644	0.056269747428003516	0.46121459350984484	0.029512159229394843	0.033363428130446335	0.34712397751794455	0.0	0.0254654614339141	0.05287600473557222	0.04270368087498211	0.3100624339141674	0.24105328985058877	0.0320782788000323	0.02404432843578066	0.269754443385707	0.024402397470624646	0.0214704567583645	0.019554074248879453	0.07377271734163078	0.139269375631904	0.04415585732225298
ec1404	0.5544977107532647	0.46900277129349305	0.40919444571893865	0.17851749404155892	0.07522839248494533	0.06115931929303307	0.2827107273659904	0.05051973976681519	0.11784091120411094	0.31675180857602636	0.04874810430501508	0.058642970238145395	0.01950549954185344	0.03708742298467243	0.029234137961514695	0.062467964981871585	0.05782163286453984	0.4657370489105406	0.03278093644828735	0.03178399416483938	0.33985472689459356	0.0254654614339141	0.0	0.05074713128501004	0.03496200293421151	0.30433262922940324	0.23847732801692792	0.030415206759352355	0.020254642026097884	0.265088920911132	0.01970330450244914	0.02454702888848239	0.025534853720029182	0.07069375801960578	0.13159592550918253	0.03489315681082177
ec1412	0.5260754008060214	0.441465798473501	0.3880628083984901	0.1788845874858858	0.05060572898638472	0.053034566210753746	0.2628312048148932	0.04449029631392403	0.09925978660710004	0.2953221561883617	0.08129404171342573	0.0584960536863368	0.0492215734610014	0.042020661455073674	0.05590788374779299	0.059472264582930055	0.05692778741366555	0.46839006862168564	0.05450021390907362	0.07427035976776712	0.3244525305077365	0.05287600473557222	0.05074713128501004	0.0	0.05156347749762494	0.2728006005192482	0.2207196387129358	0.0691474701926937	0.058005144402468206	0.26387777152626907	0.05896042202252574	0.06348625628473899	0.06327125095824583	0.05788067581531718	0.1282282799063098	0.032942000233464115
ec1416	0.5419328798156013	0.45882995411572086	0.40968505831303326	0.1709810451294996	0.07239247578078016	0.06158474447635145	0.2850986167804481	0.036378319586452865	0.12652125403370457	0.3323110626726743	0.05491903521969349	0.04075882003252455	0.025319915891324075	0.05243001670776066	0.02626932811355381	0.062242335475518176	0.07214710962755738	0.46517023577359556	0.05170203469913625	0.02650300893550639	0.33535331742278895	0.04270368087498211	0.03496200293421151	0.05156347749762494	0.0	0.30807875572690485	0.23294211755068184	0.03343723761547816	0.021671395008595884	0.2693751511386103	0.02541999046234954	0.03140348513019288	0.036279913422408216	0.07207379428327836	0.11627200197473488	0.03548975273465715
ec1417	0.3071906910111003	0.19212329415590654	0.24762949541193613	0.20888160152504107	0.25337504324816007	0.28948422505639404	0.15510231129520824	0.29212082948344387	0.2281713459144465	0.3807805462438538	0.3292181212306117	0.2895623721049	0.30581924932245985	0.2961730978116452	0.3121906200709115	0.28562241058793564	0.30590282638256744	0.45273379842239697	0.2987252159123693	0.32914592771752693	0.15098089918663538	0.3100624339141674	0.30433262922940324	0.2728006005192482	0.30807875572690485	0.0	0.10342967445594557	0.32384103331859854	0.31494999503331633	0.27955552657642635	0.3146696649574236	0.3206462896933508	0.3205762819558523	0.2651077708427393	0.22291060156194073	0.29472246553042203
ec1419	0.3563962486043329	0.2569645620803689	0.2494182843617057	0.1387473050627481	0.1940980934195616	0.22015923611949037	0.11505341727963109	0.22048549602223344	0.1846963429392508	0.35090504538031597	0.2602190626440539	0.2135789291695046	0.23334484290050186	0.2368850991606228	0.23796245446824885	0.21535926258506005	0.26554008042677035	0.4356030351855247	0.24537239731708652	0.25543150422107497	0.164591982609627	0.24105328985058877	0.23847732801692792	0.2207196387129358	0.23294211755068184	0.10342967445594557	0.0	0.25367467054786175	0.24194013770178435	0.2416425566539494	0.24183672619749508	0.24795573794777123	0.24789507683930348	0.19740547210799694	0.15087229413632305	0.22836131574097626
ec1428	0.5656281768899151	0.4799225395621229	0.424676581168452	0.1894582384943766	0.09328073190515153	0.07937097746363746	0.29221801959921484	0.05249356309956482	0.1348136090561859	0.3331479597136807	0.04452271730781324	0.05864102697464733	0.03130065110570614	0.054959622484537084	0.029776334653880337	0.0782802230024625	0.0684013980668518	0.4737583258719601	0.048773316151910245	0.02165027686323799	0.3530527731871914	0.0320782788000323	0.030415206759352355	0.0691474701926937	0.03343723761547816	0.32384103331859854	0.25367467054786175	0.0	0.01682056918200711	0.2760513692800691	0.017265292098141656	0.019146894970865573	0.02519083634108618	0.08844252876402645	0.13272194695489098	0.051823526629972444
ec1430	0.5574175252709911	0.47137837545709244	0.41898736552706556	0.18414687458426673	0.07998480709187696	0.06696165514065348	0.29320399593881286	0.042812702875497974	0.13154664220047585	0.33133413905602344	0.042237886397740884	0.05119175531709087	0.018897089672348863	0.047905694256213376	0.024367749294398798	0.0666225150930455	0.06558667903999889	0.46784217212610785	0.04322394602473366	0.01732997458854687	0.35088124002982696	0.02404432843578066	0.020254642026097884	0.058005144402468206	0.021671395008595884	0.31494999503331633	0.24194013770178435	0.01682056918200711	0.0	0.271279774015885	0.00604139541243502	0.0128329813073438	0.0196195580290829	0.0763547372754665	0.12631483453755005	0.03971466730382343
ec1433	0.5163339523638562	0.4319811816733974	0.37931158040794943	0.2533554511222367	0.2597887957301178	0.26564614720701263	0.2851886950611494	0.25884536809203834	0.25241196903885266	0.3774854895269895	0.28745071127614874	0.26488072333823304	0.2684680454466835	0.26789295395867524	0.2631997044809935	0.2610084639932207	0.2824084719828223	0.26869485434347473	0.2749710106265988	0.27506251145941185	0.3062525598907879	0.269754443385707	0.265088920911132	0.26387777152626907	0.2693751511386103	0.27955552657642635	0.2416425566539494	0.2760513692800691	0.271279774015885	0.0	0.2710536051465935	0.2742484880015448	0.273247207929828	0.26113164790638127	0.24779716345801564	0.26985612957553196
ec1436	0.5563688090429497	0.47088577404741705	0.4182042089066862	0.18600930241176752	0.08138274392654386	0.06580903074413301	0.2926487056381778	0.04381692306158184	0.13046791752183634	0.3303972094715705	0.04209184235181373	0.051593684075772465	0.020001255266094805	0.046493859062939596	0.024748339185242822	0.06472522069636864	0.06509510082300679	0.4666145442075415	0.04196686197619922	0.01835949842551335	0.3511484576081999	0.024402397470624646	0.01970330450244914	0.05896042202252574	0.02541999046234954	0.3146696649574236	0.24183672619749508	0.017265292098141656	0.00604139541243502	0.2710536051465935	0.0	0.013652020793620353	0.019953229179786335	0.07684416007008957	0.12671371443427928	0.03965614007926127
eti110	0.5617861102940473	0.4764270180271499	0.42400748213990247	0.18766918964610868	0.08471015912723553	0.06935498856876521	0.29770234970879933	0.050711615123873774	0.13230918893317195	0.33561789589699637	0.03556647878194689	0.052585100352273116	0.022620127012375462	0.052523505743767726	0.028323737655670013	0.06845002324220743	0.06607916360848103	0.4681334083192932	0.04239063986137897	0.017278681231023735	0.35591643658812955	0.0214704567583645	0.02454702888848239	0.06348625628473899	0.03140348513019288	0.3206462896933508	0.24795573794777123	0.019146894970865573	0.0128329813073438	0.2742484880015448	0.013652020793620353	0.0	0.009988069931017252	0.07712030044622302	0.12936542787346686	0.04146600555509762
eti112	0.5610735459112909	0.47571980244951084	0.42495203350984817	0.18903229005129527	0.08584355886711009	0.06858282966390089	0.2988328924088975	0.05674808302887081	0.13335099926457594	0.33564943346303533	0.03283898026905204	0.05823404835289165	0.02890021080077502	0.05123030970333427	0.027972979950064703	0.06984922365789537	0.065442463091204	0.4671792715138581	0.042448645725475166	0.019682712240525972	0.35501576882573177	0.019554074248879453	0.025534853720029182	0.06327125095824583	0.036279913422408216	0.3205762819558523	0.24789507683930348	0.02519083634108618	0.0196195580290829	0.273247207929828	0.019953229179786335	0.009988069931017252	0.0	0.07734862252089701	0.1332578445254781	0.04167313410433193
eti122	0.5122492522725108	0.42664788958979766	0.3625219835746472	0.13461946930984145	0.03307288794544403	0.056104964738501385	0.24230041405157188	0.060205646800606784	0.06564905884563561	0.30695423815041645	0.0997438399403262	0.03654584382236546	0.06738338411992313	0.07053051993471342	0.0737494952517345	0.040800421156002575	0.09279281796589396	0.4580226806653447	0.07653978661181561	0.09098883377085307	0.3073510531598947	0.07377271734163078	0.07069375801960578	0.05788067581531718	0.07207379428327836	0.2651077708427393	0.19740547210799694	0.08844252876402645	0.0763547372754665	0.26113164790638127	0.07684416007008957	0.07712030044622302	0.07734862252089701	0.0	0.08225008468743163	0.046755588522438926
eti124	0.4589564184301962	0.3749758787897092	0.30910986152458514	0.07857403657296311	0.09915771554408229	0.12448894341050942	0.20357929843817127	0.10946974004529976	0.06996615593100594	0.3013149176128261	0.15411305232609895	0.0842243989128879	0.12267257958095523	0.1396302016291963	0.12293494761466789	0.10308819767986103	0.16464672567153477	0.44564976085600855	0.14690430757189454	0.1347655269393796	0.2532938174780536	0.139269375631904	0.13159592550918253	0.1282282799063098	0.11627200197473488	0.22291060156194073	0.15087229413632305	0.13272194695489098	0.12631483453755005	0.24779716345801564	0.12671371443427928	0.12936542787346686	0.1332578445254781	0.08225008468743163	0.0	0.11531816025668054
eti126	0.5432239171844437	0.4586429516484447	0.40174119286662346	0.16962779168480988	0.05782897536008952	0.05269392665883922	0.27131435991326525	0.04199737098298626	0.10793897504254152	0.31474754533198085	0.06607728598347089	0.041846159185585124	0.0312663681890158	0.04100727193659162	0.03930634971283885	0.04509318800650565	0.05597388335150964	0.4655844560378019	0.04714241748920195	0.052984110216484095	0.33865970579962595	0.04415585732225298	0.03489315681082177	0.032942000233464115	0.03548975273465715	0.29472246553042203	0.22836131574097626	0.051823526629972444	0.03971466730382343	0.26985612957553196	0.03965614007926127	0.04146600555509762	0.04167313410433193	0.046755588522438926	0.11531816025668054	0.0
